motif,C_eff,C_eff_err
1,0.000000,NaN
1,0.000000,NaN
1,0.000000,NaN
2,0.000039,0.000048
2,0.001550,0.000997
2,0.000984,0.001005
2,0.000328,0.000379
3,0.001370,0.001831
3,0.005048,0.000813
3,0.007169,0.003133
3,0.003615,0.002323
3,0.001078,0.000638
4,0.022265,0.016577
4,0.011962,0.003296
4,0.019026,0.003173
4,0.016117,0.004187
4,0.021721,0.005392
4,0.010178,0.002966
5,0.020095,0.004903
5,0.014394,0.003695
5,0.022218,0.002716
5,0.016016,0.003702
5,0.021248,0.003776
5,0.020862,0.003189
5,0.013522,0.002272
6,0.017919,0.003350
6,0.017850,0.004070
6,0.023964,0.003509
6,0.019200,0.002348
6,0.016069,0.002389
6,0.015591,0.002465
6,0.024309,0.003813
6,0.016755,0.003358
7,0.019669,0.003151
7,0.014122,0.002162
7,0.020405,0.003325
7,0.012245,0.001452
7,0.024788,0.004660
7,0.014607,0.001688
7,0.018930,0.003062
7,0.017866,0.002869
7,0.016552,0.001927
8,0.017430,0.002271
8,0.015646,0.002210
8,0.018505,0.002740
8,0.015404,0.001721
8,0.012937,0.001112
8,0.016853,0.002162
8,0.011911,0.001712
8,0.013197,0.001506
8,0.014620,0.001788
8,0.018045,0.002858
9,0.013953,0.001737
9,0.012636,0.001823
9,0.013593,0.002276
9,0.012922,0.001665
9,0.010821,0.001043
9,0.010966,0.001469
9,0.011035,0.001254
9,0.009914,0.000883
9,0.016947,0.002288
9,0.011915,0.001221
9,0.017058,0.001489
10,0.010740,0.000930
10,0.010330,0.000986
10,0.011778,0.001324
10,0.010718,0.000946
10,0.011285,0.001027
10,0.009340,0.000720
10,0.009926,0.000973
10,0.009330,0.000811
10,0.008633,0.000732
10,0.012893,0.001439
10,0.010624,0.000985
10,0.012264,0.000960
11,0.010410,0.000893
11,0.009724,0.000777
11,0.008370,0.000826
11,0.010087,0.001220
11,0.008895,0.000822
11,0.007251,0.000657
11,0.007571,0.000551
11,0.009781,0.000909
11,0.008174,0.000695
11,0.009989,0.000831
11,0.010880,0.000929
11,0.009037,0.000739
11,0.011102,0.000823
12,0.010060,0.000692
12,0.008675,0.000531
12,0.008301,0.000574
12,0.008516,0.000630
12,0.007880,0.000675
12,0.007361,0.000486
12,0.007223,0.000584
12,0.008131,0.000576
12,0.007596,0.000492
12,0.006450,0.000387
12,0.007961,0.000740
12,0.007999,0.000582
12,0.008054,0.000577
12,0.008398,0.000460
13,0.006678,0.000376
13,0.006804,0.000375
13,0.006228,0.000357
13,0.007427,0.000634
13,0.006679,0.000631
13,0.006719,0.000480
13,0.006192,0.000447
13,0.007094,0.000433
13,0.006668,0.000389
13,0.006371,0.000386
13,0.006269,0.000353
13,0.007496,0.000548
13,0.007074,0.000436
13,0.007604,0.000441
13,0.007801,0.000383
14,0.006364,0.000302
14,0.006101,0.000260
14,0.005889,0.000324
14,0.006673,0.000403
14,0.005712,0.000382
14,0.006136,0.000421
14,0.005898,0.000380
14,0.005220,0.000283
14,0.005432,0.000261
14,0.005540,0.000301
14,0.006037,0.000380
14,0.006546,0.000485
14,0.005923,0.000424
14,0.005809,0.000375
14,0.006936,0.000387
14,0.006641,0.000336
15,0.005553,0.000272
15,0.006045,0.000311
15,0.005038,0.000243
15,0.005334,0.000328
15,0.005436,0.000364
15,0.005695,0.000366
15,0.005189,0.000396
15,0.005034,0.000264
15,0.005031,0.000227
15,0.005132,0.000235
15,0.004967,0.000228
15,0.005634,0.000266
15,0.005390,0.000288
15,0.005385,0.000361
15,0.005240,0.000282
15,0.005514,0.000249
15,0.005527,0.000255
16,0.004833,0.000209
16,0.005069,0.000201
16,0.004717,0.000183
16,0.004834,0.000215
16,0.004859,0.000247
16,0.004716,0.000251
16,0.004747,0.000244
16,0.004817,0.000239
16,0.004553,0.000210
16,0.004427,0.000179
16,0.004443,0.000189
16,0.004622,0.000206
16,0.004537,0.000218
16,0.005055,0.000285
16,0.004930,0.000326
16,0.004966,0.000275
16,0.004783,0.000191
16,0.005392,0.000234
17,0.004608,0.000192
17,0.004577,0.000194
17,0.004305,0.000177
17,0.004417,0.000224
17,0.004357,0.000289
17,0.004736,0.000290
17,0.004500,0.000225
17,0.004428,0.000215
17,0.003767,0.000156
17,0.004124,0.000165
17,0.004215,0.000159
17,0.004397,0.000181
17,0.004330,0.000184
17,0.004469,0.000220
17,0.004606,0.000252
17,0.004456,0.000219
17,0.004411,0.000182
17,0.004569,0.000185
17,0.004654,0.000181
18,0.004114,0.000151
18,0.004271,0.000157
18,0.004043,0.000157
18,0.003848,0.000157
18,0.003810,0.000165
18,0.004185,0.000215
18,0.004018,0.000195
18,0.003846,0.000180
18,0.003750,0.000176
18,0.003774,0.000158
18,0.003376,0.000124
18,0.003747,0.000147
18,0.003661,0.000150
18,0.004101,0.000189
18,0.003845,0.000175
18,0.003922,0.000211
18,0.004014,0.000202
18,0.003754,0.000147
18,0.004023,0.000152
18,0.004246,0.000155
19,0.003708,0.000162
19,0.003532,0.000151
19,0.003615,0.000144
19,0.003656,0.000148
19,0.003577,0.000161
19,0.003831,0.000217
19,0.003475,0.000158
19,0.003614,0.000185
19,0.003394,0.000141
19,0.003597,0.000156
19,0.003224,0.000113
19,0.003475,0.000121
19,0.003835,0.000157
19,0.003547,0.000138
19,0.003725,0.000170
19,0.003850,0.000173
19,0.003634,0.000176
19,0.003812,0.000152
19,0.003768,0.000146
19,0.003480,0.000122
19,0.003771,0.000136
20,0.003668,0.000119
20,0.003389,0.000111
20,0.003697,0.000129
20,0.003348,0.000125
20,0.003078,0.000122
20,0.003612,0.000153
20,0.003427,0.000163
20,0.003303,0.000150
20,0.003224,0.000136
20,0.003254,0.000133
20,0.003152,0.000115
20,0.003098,0.000100
20,0.003184,0.000110
20,0.003119,0.000116
20,0.003327,0.000146
20,0.003413,0.000155
20,0.003379,0.000163
20,0.003311,0.000145
20,0.003280,0.000146
20,0.003308,0.000120
20,0.003233,0.000106
20,0.003348,0.000113
0-0,69.228925,60.526247
0-0,62.825908,45.253509
0-0,69.412185,57.897644
0-0,63.236152,44.341067
0-1,2.499070,0.838365
0-1,2.768023,0.493795
0-1,4.896853,0.364203
0-1,5.583151,1.612713
0-1,5.938163,0.787312
1-0,4.846191,1.150144
1-0,6.383708,0.702134
1-0,2.755186,1.028740
1-0,2.852178,0.655519
1-0,3.935030,0.389195
0-2,0.367976,0.029457
0-2,0.228116,0.023093
0-2,0.255474,0.041590
0-2,0.184604,0.048492
0-2,0.231127,0.028256
0-2,0.267366,0.052475
1-1,5.903589,3.036101
1-1,5.457903,0.780595
1-1,4.451240,2.036836
1-1,5.728708,2.844298
1-1,4.600584,0.808595
1-1,4.552083,1.959007
2-0,0.217297,0.028603
2-0,0.273601,0.048491
2-0,0.392813,0.031124
2-0,0.223136,0.024331
2-0,0.213085,0.028811
2-0,0.153909,0.035174
0-3,0.037863,0.004618
0-3,0.049752,0.007029
0-3,0.055266,0.007973
0-3,0.021683,0.004761
0-3,0.022245,0.004237
0-3,0.037826,0.012096
0-3,0.036220,0.005489
1-2,0.755135,0.264537
1-2,0.783782,0.189453
1-2,0.552017,0.054795
1-2,0.583841,0.094804
1-2,1.556608,0.753166
1-2,1.435729,0.307206
1-2,1.116759,0.160019
2-1,1.632612,0.769793
2-1,1.467635,0.371905
2-1,1.173651,0.148252
2-1,0.716326,0.237569
2-1,0.721175,0.195252
2-1,0.700243,0.066180
2-1,0.492523,0.071573
3-0,0.038290,0.014254
3-0,0.026327,0.002758
3-0,0.042688,0.005159
3-0,0.070254,0.010604
3-0,0.062445,0.008015
3-0,0.023947,0.005433
3-0,0.026129,0.004817
0-4,0.013149,0.001972
0-4,0.013291,0.001640
0-4,0.023597,0.002251
0-4,0.027102,0.004685
0-4,0.012580,0.001974
0-4,0.013435,0.001776
0-4,0.014882,0.003658
0-4,0.009533,0.001247
1-3,0.217192,0.016022
1-3,0.125908,0.013330
1-3,0.125225,0.010926
1-3,0.115450,0.011371
1-3,0.087000,0.009814
1-3,0.184235,0.025446
1-3,0.245033,0.021704
1-3,0.203512,0.016301
2-2,0.777242,0.194048
2-2,0.983320,0.226985
2-2,0.878924,0.072666
2-2,0.754980,0.148089
2-2,0.792955,0.204485
2-2,0.863203,0.195755
2-2,0.827011,0.060596
2-2,0.793026,0.153179
3-1,0.176965,0.021912
3-1,0.249796,0.020948
3-1,0.265854,0.020462
3-1,0.209085,0.015334
3-1,0.139964,0.012840
